Applicable_Manufacturer_or_Applicable_GPO_Making_Payment_Name,Dispute_Status_for_Publication,Name_of_Associated_Covered_Device_or_Medical_Supply1,Name_of_Associated_Covered_Drug_or_Biological1,Physician_Specialty,status
"Taro Pharmaceuticals USA, Inc.",No,,Adapalene and Benzolyl Peroxide Gel,,allowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,TRADJENTA,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
Boston Scientific Corporation,No,GUIDEWIRES,,Allopathic & Osteopathic Physicians|Internal Medicine|Nephrology,disallowed
"Teva Pharmaceuticals USA, Inc.",No,,NUVIGIL,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
HOLOGIC INC,No,Aptima,,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Allergan Inc.,No,,BOTOX,"Ambulatory Health Care Facilities|Clinic/Center|Radiology, Mammography",disallowed
Novartis Pharmaceuticals Corporation,No,,NON_BRAND,Allopathic & Osteopathic Physicians|Dermatology,disallowed
Shire US Holdings,No,,,Allopathic & Osteopathic Physicians|Medical Genetics|Clinical Genetics (M.D.),disallowed
"LeMaitre Vascular, Inc.",No,TAPE,,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
"EMD Serono, Inc.",No,,Gonal-f,Hospitals|General Acute Care Hospital|Critical Access,disallowed
"Everett Laboratories, Inc",No,,Strovite ONE Caplet,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
Biogen Idec Inc.,No,,TYSABRI,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Addiction Medicine,disallowed
Zimmer Holding Inc,No,Knee,,Other Service Providers|Legal Medicine,disallowed
Allergan Inc.,No,,ACZONE,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
DePuy Orthopaedics Inc.,No,CMF-Cranial Reconstruction/Fixation,,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
"COMSORT, Inc",No,,GRASTEK,Other Service Providers|Specialist,disallowed
Mentor Worldwide LLC,No,Augmentation,,Allopathic & Osteopathic Physicians|Internal Medicine,allowed
"Merz North America, Inc.",No,,Xeomin,Allopathic & Osteopathic Physicians|Internal Medicine|Sports Medicine,disallowed
Volcano Corporation,No,Prestige Plus  with Acusense,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"DUSA Pharmaceuticals, Inc.",Yes,,Levulan Kerastick,Other Service Providers|Specialist,disallowed
"Medimetriks Pharmaceuticals, Inc.",No,,Genadur Kit,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
The Medicines Company,No,,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Genzyme Corporation,No,,FABRAZYME,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
Teleflex Medical Incorporated,No,Surgical,,Allopathic & Osteopathic Physicians|Colon & Rectal Surgery,disallowed
Allergan Inc.,No,,BOTOX,Other Service Providers|Specialist,disallowed
Novartis Pharmaceuticals Corporation,No,,EXFORGE,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,disallowed
ZOLL Lifecor Corporation,No,LifeVest,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Amitiza,Allopathic & Osteopathic Physicians|Internal Medicine|Adolescent Medicine,disallowed
"ARGON MEDICAL DEVICES, INC.",No,Atrieve,,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"Genentech USA, Inc.",No,,Actemra,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
Stryker Corporation,No,TRAUMA & EXTREMITIES,,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
Merck Sharp & Dohme Corporation,No,,NON-PRODUCT,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"NuVasive, Inc.",No,Integrated Operative Solutions,,"Technologists, Technicians & Other Technical Service Providers|Technician, Other|Clinical Laboratory Director, Non-physician",disallowed
CSL Behring,No,,Kcentra,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"BTG International, Inc.",No,,DIGIFAB,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
"Genentech USA, Inc.",No,,Erivedge,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
Allergan Inc.,No,,OZURDEX,Eye and Vision Services Providers|Optometrist|Vision Therapy,disallowed
Stryker Corporation,No,JOINT PRESERVATION,,,disallowed
Novartis Pharma AG,No,,INC424B,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,allowed
"Ipsen Biopharmaceuticals, Inc",No,,Somatuline Depot 120mg.5ml,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
"Salix Pharmaceuticals, Ltd",No,,RELISTOR,Allopathic & Osteopathic Physicians|Internal Medicine|Sleep Medicine,disallowed
Biocomposites Inc,No,Stimulan,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
"CVRx, Inc.",No,Barostim Neo System,,Allopathic & Osteopathic Physicians|Pain Medicine|Pain Medicine,disallowed
"Nautilus Neurosciences, Inc.",No,,Cambia,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
Actavis Pharma Inc,No,,RAPAFLO,Allopathic & Osteopathic Physicians|Surgery|Surgical Critical Care,disallowed
"Janssen Pharmaceuticals, Inc",No,,Invokana,Allopathic & Osteopathic Physicians|Internal Medicine|Allergy & Immunology,disallowed
"Therakos, Inc.",No,Cellex Photopheresis System,,Allopathic & Osteopathic Physicians|Thoracic Surgery (Cardiothoracic Vascular Surgery),disallowed
AstraZeneca Pharmaceuticals LP,No,,ONGLYZA,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Ethicon Inc.,No,Biologics,,Allopathic & Osteopathic Physicians|Pediatrics|Neonatal-Perinatal Medicine,disallowed
"Onyx Pharmaceuticals, Inc., an Amgen subsidiary",No,,Kyprolis,,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Nesina,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
SANOFI-AVENTIS U.S. LLC,No,,AFLIBERCEPT,Allopathic & Osteopathic Physicians|Surgery,disallowed
Astellas Pharma US Inc,No,,VESIcare,Allopathic & Osteopathic Physicians|Surgery,disallowed
Celgene Corporation,No,,Istodax,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
Novartis Vaccines and Diagnostics Inc,No,,Menveo,Dental Providers|Dentist|Orthodontics and Dentofacial Orthopedics,disallowed
"Hansen Medical, Inc.",No,,Magellan 9Fr Robotic Catheter,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"FUJIFILM SonoSite, Inc.",No,SONOSITE EDGE ULTRASOUND SYSTEM,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation|Pain Medicine,disallowed
Stereotaxis Inc,No,Niobe,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
Helsinn Healthcare SA,No,,Anamorelin,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"Intuitive Surgical, Inc.",No,Da Vinci Surgical System,,Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology,disallowed
"Chiesi USA, Inc.",No,,CARDENE IV 40mg  Sodium Chloride,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
Baxter Healthcare,No,,BioTherapeutics - Non Product Related,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,GILOTRIF,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
"Biomet Trauma, LLC",No,ORTHO - TRAUMA,,Allopathic & Osteopathic Physicians|Neuromusculoskeletal Medicine & OMM,disallowed
"AbbVie, Inc.",No,,Depakote,Allopathic & Osteopathic Physicians|Internal Medicine|Sleep Medicine,disallowed
Cornerstone Therapeutics Inc.,No,,BETHKIS 300MG_56 AMP,Allopathic & Osteopathic Physicians|Pediatrics|Adolescent Medicine,disallowed
"Smith & Nephew, Inc.",No,Infection Management,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"RTI Surgical, Inc.",No,RTI Product,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
"ZILA, INC.",No,Dental Lasers,Atridox,Dental Providers|Dentist,disallowed
"DentalEZ, Inc.",No,MTA Replacement,,Dental Providers|Dentist,disallowed
"DUSA Pharmaceuticals, Inc.",No,,Levulan Kerastick,Allopathic & Osteopathic Physicians|Plastic Surgery,disallowed
Olympus Corporation of the Americas,No,,,Other Service Providers|Specialist,disallowed
Alcon Laboratories Inc,No,,Cataract Equipment,Allopathic & Osteopathic Physicians|Family Medicine|Adolescent Medicine,disallowed
"Boehringer Ingelheim Pharmaceuticals, Inc.",No,,Pradaxa,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Aqua Pharmaceuticals,No,,"VERDESO DESONIDE FOAM, 0.05percent",Allopathic & Osteopathic Physicians|Obstetrics & Gynecology,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,Nesina,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Allergy/Immunology,disallowed
Coloplast Corp,No,CONTINENCE CARE,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Covidien Sales LLC,No,GI Solutions,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Galderma Laboratories, L.P.",No,,PLIAGLIS,Allopathic & Osteopathic Physicians|Dermatology,disallowed
"Acorda Therapeutics, Inc",No,,AMPYRA,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
"Smith & Nephew, Inc.",No,Exudate Management,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
HOLOGIC INC,No,Securview,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
Biogen Idec Inc.,No,,TYSABRI,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neuromuscular Medicine,disallowed
SANOFI-AVENTIS U.S. LLC,No,,CABAZITAXEL,Allopathic & Osteopathic Physicians|Obstetrics & Gynecology|Gynecologic Oncology,disallowed
"Oticon Medical, LLC",No,PONTO BONE ANCHORED HEARING SYSTEM,,Allopathic & Osteopathic Physicians|Otolaryngology|Otology & Neurotology,disallowed
American Medical Systems Inc.,No,GreenLight Laser Therapy,,Other Service Providers|Specialist,allowed
"W. L. Gore & Associates, Inc.",No,C3 Delivery System,,Allopathic & Osteopathic Physicians|Internal Medicine|Gastroenterology,disallowed
Roche Products Limited,No,,Non-Covered Product,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Covidien Sales LLC,No,Open Stapling,,Other Service Providers|Specialist,disallowed
"Janssen Pharmaceuticals, Inc",No,,Xarelto,Allopathic & Osteopathic Physicians|Urology,disallowed
NOVARTIS PHARMACEUTICALS CORPORATION,No,,MAVOGLURANT,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
Covidien Sales LLC,No,Endo Stapling,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
"Salix Pharmaceuticals, Ltd",No,,APRISO,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology & Clinical Pathology,disallowed
"Auxilium Pharmaceuticals, Inc.",No,,XIAFLEX,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Orthopaedic Surgery of the Spine,disallowed
"GlaxoSmithKline, LLC.",No,,JALYN,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"NDI Medical, LLC",No,Checkpoint Stimulator,,Dental Providers|Dentist|Oral and Maxillofacial Pathology,disallowed
"Janssen Pharmaceuticals, Inc",No,,Xarelto,Ambulatory Health Care Facilities|Clinic/Center|Prison Health,disallowed
Stryker Corporation,No,TRAUMA and EXTREMITIES,,Allopathic & Osteopathic Physicians|Hospitalist,disallowed
"KCI USA, Inc",No,VAC Therapy,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Janssen Pharmaceuticals, Inc",No,,Invega Sustenna,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Depomed, Inc.",No,,Gralise and Zipsor,Allopathic & Osteopathic Physicians|Anesthesiology|Pain Medicine,disallowed
"Kedrion Biopharma, Inc.",No,,KAMRAB,,allowed
"OMNIlife science, Inc",No,Apex Modular Hip System,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Adult Reconstructive Orthopaedic Surgery,allowed
Amgen Inc.,No,,Neulasta,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
Celgene Corporation,No,,Abraxane,Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Critical Care Medicine,disallowed
"Medtronic Vascular, Inc.",No,Stents,,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
"Janssen Pharmaceuticals, Inc",No,,Invega Sustenna,Physician Assistants & Advanced Practice Nursing Providers|Nurse Practitioner|Primary Care,disallowed
Mylan Specialty L.P.,No,,EpiPen,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
"Auxilium Pharmaceuticals, Inc.",No,,TESTOPEL,Dental Providers|Dentist,disallowed
Aqua Pharmaceuticals,No,,VERDESO,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
Edwards Lifesciences Corporation,No,Transcatheter Heart Valves,,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"Depomed, Inc.",No,,Gralise,Allopathic & Osteopathic Physicians|Family Medicine|Adult Medicine,disallowed
"FOREST RESEARCH INSTITUTE, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,allowed
Hollister Incorporated,No,SS and Pocket,,Allopathic & Osteopathic Physicians|Urology,disallowed
Endo Pharmaceuticals Inc.,No,,VOLTAREN Gel,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
Phadia US Inc.,No,SDG-IDD-Allergy,,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Gastroenterology,disallowed
Olympus America Inc.,No,Urology & Gynecology Products,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Aptalis Pharma US, Inc",No,,RECTIV,"Ambulatory Health Care Facilities|Clinic/Center|Family Planning, Non-Surgical",disallowed
SANOFI-AVENTIS U.S. LLC,No,,JEVTANA,Dental Providers|Dentist,disallowed
Mallinckrodt LLC,No,,Exalgo,Ambulatory Health Care Facilities|Clinic/Center|Infusion Therapy,disallowed
Merck Sharp & Dohme Corporation,No,,NON-PRODUCT,Allopathic & Osteopathic Physicians|Pathology|Blood Banking & Transfusion Medicine,disallowed
Philips Electronics North America Corporation,No,Research,,,allowed
Volcano Corporation,No,PV.035,,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
TERUMO MEDICAL CORPORATION,No,INTERVENTIONAL PRODUCT,,Agencies|Nursing Care,disallowed
"Takeda Pharmaceuticals America, Inc.",No,,DEXILANT,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,TUDORZA,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Pulmonology,disallowed
"Medtronic Sofamor Danek USA, Inc.",No,Interventional Therapies,,Allopathic & Osteopathic Physicians|Nuclear Medicine,disallowed
Bayer HealthCare LLC,No,Angiojet,,Allopathic & Osteopathic Physicians|Neurological Surgery,disallowed
Novartis Pharmaceuticals Corporation,No,,NON_BRAND,Allopathic & Osteopathic Physicians|Surgery|Surgical Critical Care,disallowed
"FOREST PHARMACEUTICALS, INC.",No,,BYSTOLIC,Allopathic & Osteopathic Physicians|Family Medicine|Addiction Medicine,disallowed
"Pierre Fabre Pharmaceuticals, Inc.",No,,Hemangeol,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
"Takeda Development Center Americas, Inc.",No,,,Other Service Providers|Specialist,disallowed
"GlaxoSmithKline, LLC.",No,,TYVERB,Allopathic & Osteopathic Physicians|Internal Medicine|Medical Oncology,allowed
DENTSPLY IH Inc.,No,Implant Dentistry,,Allopathic & Osteopathic Physicians|Physical Medicine & Rehabilitation,disallowed
DMG AMERICA LLC,No,LUXATEMP,,Dental Providers|Dentist|General Practice,disallowed
"Otsuka America Pharmaceutical, Inc.",No,,ABILIFY TABLET,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Psychiatry,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,SPRYCEL,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Medtronic Xomed, Inc.",No,Advanced Energy Cutting Device,,Allopathic & Osteopathic Physicians|Urology,disallowed
"ProStrakan, Inc.",No,,FARESTON,Allopathic & Osteopathic Physicians|Dermatology|Dermatopathology,disallowed
Eisai Inc.,No,,Aloxi,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
DePuy Orthopaedics Inc.,No,,,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot & Ankle Surgery,disallowed
"LeMaitre Vascular, Inc.",No,REDDICK,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Bard Peripheral Vascular, Inc.",No,Vascular,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,allowed
"Ivoclar Vivadent, Inc.",No,"IPS e.max CAD CERECinLab LT A2 I125, IPS e.max CAD CERECinLab LT A1 C145, IPS e.max CAD CERECinLab",,Dental Providers|Dentist|General Practice,disallowed
"Onyx Pharmaceuticals, Inc., an Amgen subsidiary",No,,Kyprolis,Other Service Providers|Military Health Care Provider,disallowed
Alcon Laboratories Inc,No,,Tobradex St,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
Daiichi Sankyo Inc.,No,,,Other Service Providers|Specialist,disallowed
"TransMedics, Inc.",No,Organ Care System,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,allowed
GENZYME CORPORATION,No,"Gene Expression Classifier Thyroid FNA Analysis,",,Allopathic & Osteopathic Physicians|Surgery,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,ORENCIA,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,VIDEX,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Merge Healthcare Incorporated,No,,,Allopathic & Osteopathic Physicians|Radiology|Vascular & Interventional Radiology,disallowed
"Hansen Medical, Inc.",No,,Magellan 9Fr Robotic Catheter,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
"Janssen Pharmaceuticals, Inc",No,,Xarelto,Eye and Vision Services Providers|Optometrist,disallowed
"Optos, Inc.",No,scanning laser ophthalmoscope,,Eye and Vision Services Providers|Optometrist,disallowed
NOVARTIS PHARMACEUTICALS CORPORATION,No,,ZORTRESS,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
Novartis Pharmaceuticals Corporation,No,,NON BRAND,Allopathic & Osteopathic Physicians|Family Medicine|Adult Medicine,disallowed
NOVARTIS PHARMACEUTICALS CORPORATION,No,,Cosentyx,Allopathic & Osteopathic Physicians|Internal Medicine|Rheumatology,allowed
PFIZER INTERNATIONAL LLC,No,,PREVNAR - 13,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
Purdue Pharma L.P.,No,,OXYCONTIN,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
Baxter Healthcare,No,,BioSurgery - TISSEEL,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
"Teva Pharmaceuticals USA, Inc.",No,,AMRIX,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
Coloplast Corp,No,MALE INCONTINENCE,,Other Service Providers|Specialist,disallowed
"AbbVie, Inc.",No,,,Physician Assistants & Advanced Practice Nursing Providers|Physician Assistant|Medical,disallowed
Vansen Pharma Inc.,No,,Prednisolone 25,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Pulmonology,disallowed
HOLOGIC INC,No,SXCH SYS 3086,,Allopathic & Osteopathic Physicians|General Practice,disallowed
"Arbor Pharmaceuticals, Inc.",No,,BIDIL,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
"Lupin Pharmaceuticals, Inc",No,,Alinia,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Infectious Diseases,disallowed
VOCO America Inc.,No,Profluirde Varnish,,,disallowed
"BioHorizons Implant Systems, Inc.",No,Dental Prosthetics,,Dental Providers|Dentist|Orthodontics and Dentofacial Orthopedics,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,SPRYCEL,Allopathic & Osteopathic Physicians|Otolaryngology,disallowed
"E.R. Squibb & Sons, L.L.C.",No,,ELIQUIS,Allopathic & Osteopathic Physicians|Allergy & Immunology,disallowed
"Wright Therapy Products, Inc.",No,Wright 52 Gradient Compression Therapy Pump,,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
DePuy Synthes Sales Inc.,No,Extremities,,Allopathic & Osteopathic Physicians|Family Medicine|Sports Medicine,disallowed
Luitpold Pharmaceuticals Inc,No,Sprix,Sprix,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Neurology,disallowed
"Medline Industries, Inc.",No,Dermatology and Wound Care,,Allopathic & Osteopathic Physicians|Preventive Medicine|Preventive Medicine/Occupational Environmental Medicine,disallowed
"Teva Pharmaceuticals USA, Inc.",No,,FENTORA,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology,disallowed
Novartis Pharmaceuticals Corporation,No,,GLEEVEC,Allopathic & Osteopathic Physicians|Family Medicine,disallowed
Boston Scientific Corporation,No,STENTS,,Dental Providers|Dentist|General Practice,disallowed
NOVARTIS PHARMACEUTICALS CORPORATION,No,,KISQALI,Allopathic & Osteopathic Physicians|Surgery|Surgical Oncology,disallowed
Masimo Corporation,No,Oximetry Monitoring,,Allopathic & Osteopathic Physicians|Pediatrics,disallowed
Nucletron B.V.,No,ELEKTA BRACHYTHERAPY,,Allopathic & Osteopathic Physicians|Urology,disallowed
"Genentech, Inc.",No,,NonCovered Product,,allowed
DENTSPLY LLC,No,,,Dental Providers|Dentist|General Practice,disallowed
Abbott Laboratories,No,Diabetes Care,,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
"Otsuka America Pharmaceutical, Inc.",No,,ABILIFY MAINTENA,Allopathic & Osteopathic Physicians|Family Medicine|Adult Medicine,disallowed
AstraZeneca Pharmaceuticals LP,No,,,Allopathic & Osteopathic Physicians|Psychiatry & Neurology|Pain Medicine,disallowed
"LILLY USA, LLC",No,,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"Depomed, Inc.",No,,Zipsor,Podiatric Medicine & Surgery Service Providers|Podiatrist|Foot Surgery,disallowed
"AngioScore, Inc.",No,,,Allopathic & Osteopathic Physicians|General Practice,disallowed
"VIVUS, Inc.",No,,Qsymia,Allopathic & Osteopathic Physicians|Otolaryngology,disallowed
Mallinckrodt LLC,No,,Exalgo,Allopathic & Osteopathic Physicians|Emergency Medicine|Emergency Medical Services,disallowed
Covidien LP,No,Capnography Monitors,,Allopathic & Osteopathic Physicians|Emergency Medicine|Emergency Medical Services,disallowed
Cook Incorporated,No,AI - Stents,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
GE Healthcare,No,,,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
Allergan Inc.,No,,,Allopathic & Osteopathic Physicians|Dermatology|MOHS-Micrographic Surgery,disallowed
Pfizer Inc.,No,,VIAGRA,Allopathic & Osteopathic Physicians|Internal Medicine|Sports Medicine,disallowed
Daiichi Sankyo Inc.,No,,Tribenzor,Allopathic & Osteopathic Physicians|Emergency Medicine,disallowed
Covidien LP,No,Plaque Excision,,Allopathic & Osteopathic Physicians|Surgery|Vascular Surgery,disallowed
Eisai Inc.,No,,Belviq,Allopathic & Osteopathic Physicians|Radiology|Body Imaging,disallowed
"MAQUET Cardiovascular U.S. Sales, L.L.C.",No,Endoscopic Vessel Harvesting,,Allopathic & Osteopathic Physicians|Pathology|Anatomic Pathology,disallowed
"Biosense Webster, Inc.",No,Ablation Catheters#Accessories,,Allopathic & Osteopathic Physicians|Internal Medicine,disallowed
"Medtronic USA, Inc.",No,,,Allopathic & Osteopathic Physicians|Internal Medicine|Interventional Cardiology,disallowed
"Becton, Dickinson and Company",No,Diabetes Care,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
Merck Sharp & Dohme Corporation,No,,NASONEX,Allopathic & Osteopathic Physicians|Internal Medicine|Critical Care Medicine,disallowed
"LeMaitre Vascular, Inc.",No,ANASTOCLIP,,Dental Providers|Dentist|Endodontics,disallowed
"Janssen Biotech, Inc.",No,,Remicade,Allopathic & Osteopathic Physicians|Internal Medicine|Infectious Disease,disallowed
Amgen Inc.,No,,EPOGEN,Other Service Providers|Specialist,disallowed
"MAQUET Cardiovascular U.S. Sales, L.L.C.",No,Surgical Assist Systems,,Allopathic & Osteopathic Physicians|Surgery,disallowed
"AbbVie, Inc.",No,,Androgel,Allopathic & Osteopathic Physicians|Urology|Pediatric Urology,disallowed
Boehringer Ingelheim International GmbH,No,,Tradjenta,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
Kairos Surgical Inc,No,ARTHREX PRODUCT LINE DISTAL EXTREMITY ARTHROSCOPY,,Podiatric Medicine & Surgery Service Providers|Podiatrist,disallowed
Zimmer Holding Inc,No,Knee,,Allopathic & Osteopathic Physicians|Internal Medicine|Geriatric Medicine,disallowed
Aqua Pharmaceuticals,No,,MONODOX CAPSULES,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
"Sotera Wireless, Inc.",No,Visi Mobile System,,Allopathic & Osteopathic Physicians|Internal Medicine|Cardiovascular Disease,disallowed
Allergan Inc.,No,,,Allopathic & Osteopathic Physicians|Orthopaedic Surgery|Sports Medicine,disallowed
Eisai Inc.,No,,Aloxi,"Allopathic & Osteopathic Physicians|Internal Medicine|Endocrinology, Diabetes & Metabolism",disallowed
"Epimed International, Inc",No,Epidural Catheter,,Allopathic & Osteopathic Physicians|Anesthesiology,disallowed
Olympus America Inc.,No,Endoscopy Products,,Allopathic & Osteopathic Physicians|Ophthalmology,disallowed
"Ivoclar Vivadent, Inc.",No,"IPS e.max CAD CERECinLab HT A2 C145, IPS e.max CAD CERECinLab HT A3 C145",,Dental Providers|Dentist|Prosthodontics,disallowed
Eisai Inc.,No,,Belviq,Allopathic & Osteopathic Physicians|Otolaryngology|Pediatric Otolaryngology,disallowed
"Medtronic Vascular, Inc.",No,Leads,,"Student, Health Care|Student in an Organized Health Care Education/Training Program",disallowed
Septodont Inc.,No,,ARTICAINESEPTOCAINE,Dental Providers|Dentist|Orthodontics and Dentofacial Orthopedics,disallowed
"Medimetriks Pharmaceuticals, Inc.",No,,Synalar Topical Solution,Allopathic & Osteopathic Physicians|Dermatology,disallowed
Covidien Sales LLC,No,Vascular,,Allopathic & Osteopathic Physicians|Internal Medicine|Hematology & Oncology,disallowed
LifeCell Corporation,No,AlloDerm,,Allopathic & Osteopathic Physicians|Radiology|Diagnostic Radiology,disallowed
SANOFI-AVENTIS U.S. LLC,No,,JEVTANA,Allopathic & Osteopathic Physicians|Pediatrics|Pediatric Hematology-Oncology,disallowed
"AngioScore, Inc.",No,,,Allopathic & Osteopathic Physicians|Surgery,disallowed
Jazz Pharmaceuticals Inc.,No,,Xyrem,Allopathic & Osteopathic Physicians|Pediatrics|Neonatal-Perinatal Medicine,disallowed
Pfizer Inc.,No,,CHANTIX,Allopathic & Osteopathic Physicians|Internal Medicine|Pulmonary Disease,disallowed
