gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired,current_annual_salary
M,DLC,Department of Liquor Control,Montrose,Fulltime-Regular,Liquor Store Manager,08/31/1999,1999,76791.75
M,COR,Correction and Rehabilitation,DS Food Services,Fulltime-Regular,Correctional Dietary Officer II,04/21/2003,2003,58327.42
M,FRS,Fire and Rescue Services,Fire and Explosive Investigations,Fulltime-Regular,Fire/Rescue Lieutenant,06/07/2004,2004,97596.0
M,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),10/28/1996,1996,103708.64
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer III,08/19/1996,1996,92756.7
M,HHS,Department of Health and Human Services,Medication Assisted Treatment - Clinical and Vocational Services,Fulltime-Regular,Community Services Aide III,08/17/1998,1998,73801.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/30/2007,2007,48258.81
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Master Firefighter/Rescuer,09/04/2007,2007,80402.0
F,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Officer III,07/21/2003,2003,89620.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Work Force Leader II,10/30/2006,2006,55378.71
M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Master Firefighter/Rescuer,02/08/1999,1999,99597.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/06/2012,2012,37838.41
F,POL,Department of Police,PSB 1st District Station,Fulltime-Regular,Police Lieutenant,02/06/1995,1995,123902.96
M,OHR,Office of Human Resources,Communications and Strategic Planning Team,Fulltime-Regular,Program Manager II,07/19/1999,1999,118324.32
F,HHS,Department of Health and Human Services,Infants and Toddlers,Fulltime-Regular,Administrative Specialist II,07/15/1988,1988,84022.49
F,FIN,Department of Finance,Division of Fiscal Management,Fulltime-Regular,Manager II,09/20/1999,1999,156511.2
M,DOT,Department of Transportation,Transit Central Communication,Fulltime-Regular,Transit Communications Supervisor,10/18/2010,2010,49618.44
M,HHS,Department of Health and Human Services,TB and Refugee Health,Fulltime-Regular,Principal Administrative Aide,07/01/2013,2013,42649.12
M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer II (PFC),01/14/2013,2013,51576.0
F,COR,Correction and Rehabilitation,MSD Human Resources,Fulltime-Regular,Program Manager II,07/06/1987,1987,112930.4
F,CCL,County Council,Council Central Staff,Fulltime-Regular,Legislative Analyst III,06/11/2007,2007,112417.99
M,FRS,Fire and Rescue Services,Station 34,Fulltime-Regular,Firefighter/Rescuer II,03/10/2014,2014,50910.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,09/28/2015,2015,40631.32
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,01/09/2012,2012,43525.72
F,FRS,Fire and Rescue Services,Emergency Medical Services,Fulltime-Regular,Administrative Specialist I,10/06/1975,1975,71644.96
F,DOT,Department of Transportation,Transit Management Services,Fulltime-Regular,Manager III,10/11/1988,1988,135392.0
M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,04/02/2003,2003,54580.21
M,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Program Specialist II,11/28/2004,2004,84974.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,06/30/2014,2014,42053.33
M,DEP,Department of Environmental Protection,Solid Waste Services Collection Operations,Fulltime-Regular,Program Specialist II,09/22/2014,2014,70718.47
F,HHS,Department of Health and Human Services,Early Childhood Services,Parttime-Regular,Therapist II,02/09/2015,2015,30569.71
F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist II,12/01/2014,2014,48571.6
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Fire/Rescue Lieutenant,06/07/2004,2004,88168.0
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,08/18/1997,1997,97912.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/20/2013,2013,43525.72
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Services Aide III,12/02/2014,2014,47940.15
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/16/2016,2016,39257.31
F,REC,Department of Recreation,Holiday Park Senior Center,Fulltime-Regular,Recreation Specialist,08/07/2006,2006,68028.09
F,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,02/05/2006,2006,46626.06
M,DOT,Department of Transportation,Transportation Planning and Design Section,Fulltime-Regular,Manager III,02/26/2001,2001,135392.0
M,FRS,Fire and Rescue Services,Station 11,Fulltime-Regular,Firefighter/Rescuer III,03/27/2006,2006,68015.0
M,FRS,Fire and Rescue Services,Information Technology,Fulltime-Regular,Manager III,11/12/2002,2002,135392.0
F,REC,Department of Recreation,Management Services,Fulltime-Regular,Information Technology Specialist I,08/10/2015,2015,63450.68
M,FRS,Fire and Rescue Services,Station 21,Fulltime-Regular,Firefighter/Rescuer III,06/04/2012,2012,63345.0
F,DGS,Department of General Services,Building Design and Construction,Fulltime-Regular,Manager III,01/22/2007,2007,135392.0
M,SHF,Sheriff's Office,Administration,Fulltime-Regular,Deputy Sheriff Candidate,07/11/2016,2016,47693.0
M,DPS,Department of Permitting Services,Zoning,Fulltime-Regular,Permitting Services Specialist II,06/11/1984,1984,100849.36
F,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Services Assistant,10/02/1989,1989,69222.18
F,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),12/08/1997,1997,100688.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,01/14/2013,2013,41781.91
M,NDA,Non-Departmental Account,MCERP,Fulltime-Regular,Investment Officer,05/09/2011,2011,115370.7
M,POL,Department of Police,MSB Personnel Division Background Section,Fulltime-Regular,Background Screening Specialist,06/13/1994,1994,81824.52
M,LIB,Department of Public Libraries,Olney Library,Parttime-Regular,Library Aide,03/23/2015,2015,15834.05
M,POL,Department of Police,PSB 4th District Patrol,Fulltime-Regular,Police Officer I,10/06/2014,2014,53788.0
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Principal Administrative Aide,02/17/1987,1987,60201.44
F,POL,Department of Police,ISB Criminal Investigations Division Forensic Services Section,Fulltime-Regular,Forensics Specialist I,07/16/2012,2012,50785.5
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Executive Administrative Aide,04/26/1972,1972,71830.44
F,POL,Department of Police,MSB Information Mgmt and Tech Division Warrant Control Section,Fulltime-Regular,Office Services Coordinator,10/20/2003,2003,53269.92
M,FRS,Fire and Rescue Services,Station 14,Fulltime-Regular,Firefighter/Rescuer III,02/14/2000,2000,80784.0
F,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Management and Budget Specialist III,10/29/2007,2007,95741.4
F,DEP,Department of Environmental Protection,Water Quality Monitoring and Planning,Fulltime-Regular,Planning Specialist III,01/22/2007,2007,90738.67
F,SHF,Sheriff's Office,Sheriff Domestic Violence,Fulltime-Regular,Client Assistance Specialist,06/01/2015,2015,50785.86
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator Apprentice,04/04/2016,2016,33395.15
M,FRS,Fire and Rescue Services,Station 33,Fulltime-Regular,Firefighter/Rescuer III,02/22/1994,1994,83611.44
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,11/04/2002,2002,22529.52
M,REC,Department of Recreation,Bauer Drive Community Recreation Center,Fulltime-Regular,Recreation Specialist,01/28/2001,2001,67461.19
F,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Supervisory Therapist,07/27/2015,2015,85606.4
F,CEC,Community Engagement Cluster,Regional Services Centers,Fulltime-Regular,Director Regional Services Center,11/02/2015,2015,155000.0
F,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),02/10/2003,2003,72185.0
M,FRS,Fire and Rescue Services,Station 4,Fulltime-Regular,Firefighter/Rescuer III,03/27/2006,2006,68015.0
F,NDA,Non-Departmental Account,CCT State Positions Supplement,Fulltime-Regular,Secretary to Appellate Judge,05/08/1998,1998,9196.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Coordinator,08/08/1999,1999,69459.43
F,POL,Department of Police,ISB Criminal Investigations Division 4th District Investigative Section,Fulltime-Regular,Office Services Coordinator,05/29/2001,2001,57625.16
M,FRS,Fire and Rescue Services,Safety,Fulltime-Regular,Fire/Rescue Captain,11/16/1992,1992,114087.02
M,DLC,Department of Liquor Control,Fallsgrove,Fulltime-Regular,Liquor Store Manager,04/07/2002,2002,68511.6
F,DPS,Department of Permitting Services,Customer Service & Outreach,Fulltime-Regular,Permit Technician II,09/16/1991,1991,72534.66
M,FRS,Fire and Rescue Services,Station 3,Fulltime-Regular,Firefighter/Rescuer III,03/19/2007,2007,65716.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,04/25/2005,2005,52472.35
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Supervisor,11/10/1993,1993,97447.18
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Master Firefighter/Rescuer,03/19/2007,2007,80986.0
M,OMB,Office of Management and Budget,Capital Budget Management,Fulltime-Regular,Management and Budget Specialist III,05/18/2015,2015,81695.34
M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Specialist III,10/05/1998,1998,77343.0
F,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,07/01/2001,2001,60515.7
M,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Master Police Officer,07/18/2005,2005,79227.0
F,CUS,Community Use of Public Facilities,Scheduling Team,Fulltime-Regular,Program Specialist II,08/31/1997,1997,68521.95
F,HHS,Department of Health and Human Services,Area Health Centers,Fulltime-Regular,Community Health Nurse II,04/19/2004,2004,97912.0
F,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,10/30/2006,2006,76311.46
M,POL,Department of Police,ISB Family Crimes Division Child Abuse Sexual Assault Section,Fulltime-Regular,Police Officer II,08/12/2013,2013,69429.0
F,POL,Department of Police,PSB 2nd District Patrol,Fulltime-Regular,Police Services Assistant,10/02/1995,1995,69222.18
F,HHS,Department of Health and Human Services,School Health Services,Fulltime-Regular,Community Health Nurse II,01/22/2007,2007,93046.48
M,DEP,Department of Environmental Protection,Solid Waste Services Recycling,Fulltime-Regular,Program Specialist I,04/21/2014,2014,49263.67
M,POL,Department of Police,ISB Criminal Investigations Division 5th District Investigative Section,Fulltime-Regular,Master Police Officer,02/06/1995,1995,97392.47
M,LIB,Department of Public Libraries,Davis Library,Parttime-Regular,Library Assistant I,11/04/2013,2013,18723.15
M,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,03/19/2001,2001,74146.46
M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Building Services Worker II,07/05/1988,1988,47863.07
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Principal Administrative Aide,09/05/2000,2000,57068.37
M,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector III,07/22/2002,2002,68888.03
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Therapist II,07/07/2008,2008,88908.19
F,HHS,Department of Health and Human Services,Adult Shelters,Fulltime-Regular,Program Manager II,07/07/1988,1988,105743.92
F,HHS,Department of Health and Human Services,Behavioral Health Community Support Services,Fulltime-Regular,Behavioral Health Associate Counselor,10/08/2001,2001,78593.12
M,LIB,Department of Public Libraries,White Oak Library,Parttime-Regular,Library Assistant I,06/06/1982,1982,18723.15
F,CCL,County Council,Council Central Staff,Fulltime-Regular,Administrative Specialist II,10/03/2005,2005,78293.44
M,POL,Department of Police,ISB Criminal Investigations Division Central Auto Theft Section,Fulltime-Regular,Police Officer III,06/25/1990,1990,92756.7
M,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Manager II,01/25/1988,1988,149743.2
M,REC,Department of Recreation,Countywide Programs Sports,Fulltime-Regular,Recreation Specialist,10/07/2002,2002,79747.8
F,PRO,Office of Procurement,Procurement Operations Section,Fulltime-Regular,Procurement Specialist I,06/15/2015,2015,52518.43
M,DGS,Department of General Services,Fleet Management Fleet Services,Fulltime-Regular,Mechanic Technician II,01/12/2004,2004,67952.64
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/22/2016,2016,39257.31
M,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,06/22/1998,1998,89620.0
M,POL,Department of Police,PSB 5th District Traffic Squad,Fulltime-Regular,Police Officer III,06/25/1990,1990,92756.7
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician I,08/06/2012,2012,37838.45
M,DTS,Department of Technology Services,COO Office,Fulltime-Regular,Manager I,10/05/1998,1998,175110.42
M,DLC,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Warehouse Equipment Operator,11/27/1989,1989,60201.44
M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,01/13/2003,2003,66409.05
F,POL,Department of Police,PSB 1st District Station,Fulltime-Regular,Police Lieutenant,07/06/1992,1992,123902.96
M,COR,Correction and Rehabilitation,DS MCCF Unit 2 Security,Fulltime-Regular,Correctional Officer I (Private),11/02/2015,2015,45852.0
F,DLC,Department of Liquor Control,Fallsgrove,Parttime-Regular,Liquor Store Clerk I,05/20/2012,2012,29779.07
F,FRS,Fire and Rescue Services,HR Labor Relations,Fulltime-Regular,Administrative Specialist III,05/31/2016,2016,74370.0
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Transit Coordinator,01/11/1998,1998,57718.21
M,DGS,Department of General Services,Fleet Management Administration,Fulltime-Regular,Senior Mechanic Technician,03/30/2009,2009,62971.42
M,DTS,Department of Technology Services,EASD Web and Mobile Applications,Fulltime-Regular,Information Technology Specialist II,05/15/2006,2006,93396.0
F,HHS,Department of Health and Human Services,Positive Youth Development,Fulltime-Regular,Community Services Aide III,02/16/2010,2010,49618.44
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Therapist II,11/13/2006,2006,72697.36
F,DEP,Department of Environmental Protection,Stormwater Facility Inspection and Maintenance,Fulltime-Regular,Office Services Coordinator,12/14/1992,1992,69222.18
M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008,46626.87
M,POL,Department of Police,FSB Animal Services Division,Fulltime-Regular,Code Enforcement Inspector II,01/26/2015,2015,46504.09
M,DGS,Department of General Services,Fleet Management Services,Fulltime-Regular,Supply Technician III,10/18/2004,2004,58448.0
M,FRS,Fire and Rescue Services,Station 25,Fulltime-Regular,Firefighter/Rescuer III,06/04/2012,2012,59302.0
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,02/06/2006,2006,20419.48
F,COR,Correction and Rehabilitation,DS MCCF Unit 1 Security,Fulltime-Regular,Correctional Officer III (Corporal),01/06/2003,2003,74713.0
F,DTS,Department of Technology Services,COO Office - Management Services,Fulltime-Regular,Program Manager II,04/24/1989,1989,105743.92
F,POL,Department of Police,MSB Management and Budget Division,Fulltime-Regular,Management and Budget Specialist III,12/08/2008,2008,102664.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,02/21/1995,1995,63067.93
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Office Services Coordinator,12/07/1998,1998,67206.0
M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,06/11/2007,2007,70435.0
M,FRS,Fire and Rescue Services,Station 24,Fulltime-Regular,Firefighter/Rescuer III,01/14/2013,2013,55328.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/04/2016,2016,39257.31
M,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Officer II,08/12/2013,2013,58455.0
F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Community Services Aide III,08/03/1992,1992,76015.03
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,10/26/2009,2009,18416.33
M,DLC,Department of Liquor Control,Beer Delivery Operations,Fulltime-Regular,Truck Driver/Warehouse Worker,07/28/2003,2003,55376.69
M,DGS,Department of General Services,Facilities Major Programs,Fulltime-Regular,Program Manager I,09/13/1993,1993,92629.77
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,11/07/2011,2011,43244.28
M,DPS,Department of Permitting Services,Land Development Sediment Stormwater Plan Review,Fulltime-Regular,Senior Permitting Services Specialist,08/10/1992,1992,110886.71
M,COR,Correction and Rehabilitation,DS MCDC Custody and Security,Fulltime-Regular,Correctional Officer III (Corporal),08/06/2007,2007,62903.0
M,REC,Department of Recreation,Kennedy Shriver Aquatic Center,Fulltime-Regular,Recreation Specialist,06/25/1995,1995,67678.71
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,09/28/2015,2015,40631.32
M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,12/13/2004,2004,72861.0
M,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Parttime-Regular,Office Clerk,04/27/2010,2010,17269.0
F,SHF,Sheriff's Office,Administration,Fulltime-Regular,Deputy Sheriff Candidate,08/10/2015,2015,47693.0
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,10/28/2008,2008,42053.33
M,DPS,Department of Permitting Services,Fire Code Compliance,Fulltime-Regular,Permitting and Code Enforcement Inspector III,09/08/2014,2014,77397.73
M,DHS,Office of Emergency Management and Homeland Security,Operations and Training,Fulltime-Regular,Emergency Management Specialist II,10/20/2014,2014,79722.99
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/21/2011,2011,43525.72
M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016,45261.0
F,HHS,Department of Health and Human Services,Victim Assistance and Sexual Assault Program,Fulltime-Regular,Therapist II,06/17/1985,1985,100849.36
M,POL,Department of Police,PSB 1st District Patrol,Fulltime-Regular,Police Sergeant,12/08/1986,1986,107128.71
M,DTS,Department of Technology Services,ERP Access Control,Fulltime-Regular,Senior Information Technology Specialist,04/20/2015,2015,110925.31
M,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer II (PFC),02/09/2015,2015,48145.0
F,POL,Department of Police,PSB 6th District Patrol,Fulltime-Regular,Police Sergeant,09/12/1988,1988,107128.71
M,DLC,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Supply Technician II,08/11/2014,2014,36707.05
M,COR,Correction and Rehabilitation,MSD Budget/Procurement and Contracts,Fulltime-Regular,Management and Budget Specialist III,10/07/2002,2002,102664.0
M,FRS,Fire and Rescue Services,Emergency Communications Center (ECC),Fulltime-Regular,Fire/Rescue Lieutenant,05/16/2005,2005,93886.0
F,COR,Correction and Rehabilitation,DS Intake Classification and Re-Entry Services,Fulltime-Regular,Social Worker III,07/25/2016,2016,73000.0
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,03/09/2015,2015,16610.68
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,04/02/2001,2001,24134.31
M,LIB,Department of Public Libraries,Quince Orchard Library,Parttime-Regular,Library Assistant I,12/20/2004,2004,34824.37
F,HHS,Department of Health and Human Services,Maternity Dental,Fulltime-Regular,Office Services Coordinator,01/24/2005,2005,52911.27
M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Master Firefighter/Rescuer,05/16/2005,2005,77434.0
F,HHS,Department of Health and Human Services,"Chief, Public Health",Fulltime-Regular,Manager II,09/15/2008,2008,156525.0
M,OMB,Office of Management and Budget,Capital Budget Management,Fulltime-Regular,Senior Management and Budget Specialist,11/21/2011,2011,98181.41
F,HHS,Department of Health and Human Services,24 Hours Crisis Center,Fulltime-Regular,Community Health Nurse II,07/28/2015,2015,80002.98
M,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,06/04/2012,2012,17793.56
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,05/22/2000,2000,81066.0
F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,09/12/1994,1994,20419.36
F,DPS,Department of Permitting Services,Central Services Unit,Fulltime-Regular,Administrative Specialist II,07/09/2001,2001,75597.04
F,LIB,Department of Public Libraries,Gaithersburg Library,Parttime-Regular,Library Desk Assistant,04/18/2006,2006,21357.88
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Social Worker IV,08/20/2007,2007,76420.03
F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Supervisor,01/04/1999,1999,97912.0
F,POL,Department of Police,FSB Media Services Division,Fulltime-Regular,Office Services Coordinator,10/20/2003,2003,67982.93
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,10/18/2004,2004,55123.38
F,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,01/18/1994,1994,92756.7
M,DEP,Department of Environmental Protection,Solid Waste Services Operations,Fulltime-Regular,Refuse Disposal Cashier,01/24/2011,2011,43525.72
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,03/11/2013,2013,69023.5
M,FRS,Fire and Rescue Services,Station 8,Fulltime-Regular,Master Firefighter/Rescuer,01/03/1988,1988,95187.98
F,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,07/21/2003,2003,77029.0
F,HHS,Department of Health and Human Services,Director's Office,Fulltime-Regular,Intergovernmental Relations Legislative Analyst,02/22/2016,2016,94695.12
M,COR,Correction and Rehabilitation,DS MCCF Custody and Security,Fulltime-Regular,Correctional Shift Commander (Lieutenant),04/28/1997,1997,100688.0
M,DOT,Department of Transportation,Highway Services,Fulltime-Regular,Equipment Operator I,11/01/2005,2005,47947.55
M,FRS,Fire and Rescue Services,Station 32,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014,50910.0
F,HHS,Department of Health and Human Services,Child and Adolescent Mental Health Clinic Services,Fulltime-Regular,Therapist II,05/02/2016,2016,59072.0
M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Motor Pool Attendant,09/12/2011,2011,45049.12
M,PIO,Office of Public Information,MC311,Fulltime-Regular,Customer Service Representative II,04/08/2013,2013,55429.52
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,11/27/1995,1995,66065.23
M,FRS,Fire and Rescue Services,HR Labor Relations,Fulltime-Regular,Fire/Rescue Assistant Chief,11/28/1988,1988,149529.08
M,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,11/30/2015,2015,42662.89
M,FRS,Fire and Rescue Services,Station 31,Fulltime-Regular,Fire/Rescue Captain,11/17/1997,1997,112266.0
F,BOE,Board of Elections,Registration Services,Fulltime-Regular,Office Services Coordinator,12/15/2003,2003,52081.11
F,HHS,Department of Health and Human Services,Fiscal Team,Fulltime-Regular,Accountant/Auditor I,08/21/1967,1967,76015.03
F,DEP,Department of Environmental Protection,Solid Waste Services Administration,Fulltime-Regular,Accountant/Auditor III,01/29/2001,2001,93396.0
M,DPS,Department of Permitting Services,Site Plan Enforcement,Fulltime-Regular,Permitting and Code Enforcement Inspector III,08/10/1998,1998,93396.0
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,School Health Room Technician II,08/14/2000,2000,54154.01
F,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff Lieutenant,01/18/1994,1994,106448.44
F,DTS,Department of Technology Services,COO Office - Management Services,Fulltime-Regular,Manager III,08/24/1987,1987,135187.92
F,DLC,Department of Liquor Control,King Farm,Fulltime-Regular,Liquor Store Clerk II,09/08/2014,2014,40946.26
M,FRS,Fire and Rescue Services,Station 30,Fulltime-Regular,Master Firefighter/Rescuer,09/04/2001,2001,99597.0
F,LIB,Department of Public Libraries,Aspen Hill Library,Parttime-Regular,Library Associate,06/27/1997,1997,25167.75
M,POL,Department of Police,PSB 6th District Station,Fulltime-Regular,Police District Station Assistant,07/08/1996,1996,73775.81
F,HHS,Department of Health and Human Services,Nursing Home Inspections,Fulltime-Regular,Community Health Nurse II,03/26/2012,2012,81646.1
M,POL,Department of Police,PSB 3rd District Patrol,Fulltime-Regular,Police Officer III,09/12/1988,1988,92756.7
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/14/2007,2007,48258.81
M,DLC,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Work Force Leader II,12/07/1992,1992,58857.11
M,DTS,Department of Technology Services,ESOD Data Center Operations,Fulltime-Regular,Senior Information Technology Specialist,09/08/1986,1986,113453.3
F,HHS,Department of Health and Human Services,Chief Office of Community Affairs,Fulltime-Regular,Manager II,07/12/2004,2004,142353.83
F,LIB,Department of Public Libraries,Rockville Library,Parttime-Regular,Library Associate II,07/21/2005,2005,30257.86
F,HHS,Department of Health and Human Services,School Health Services,Parttime-Regular,Community Health Nurse II,01/12/2004,2004,48956.0
F,DLC,Department of Liquor Control,Hampden Lane,Parttime-Regular,Liquor Store Clerk I,10/06/2014,2014,29779.09
M,FRS,Fire and Rescue Services,Station 23,Fulltime-Regular,Firefighter/Rescuer III,09/04/2007,2007,65716.0
M,FRS,Fire and Rescue Services,Station 5,Fulltime-Regular,Firefighter/Rescuer II,09/22/2014,2014,50910.0
F,HHS,Department of Health and Human Services,Child Welfare Services,Fulltime-Regular,Child Welfare Caseworker,01/03/1995,1995,96197.88
F,POL,Department of Police,FSB Traffic Division School Safety Section,Fulltime-Regular,Principal Administrative Aide,11/28/1994,1994,60201.44
M,POL,Department of Police,ISB Major Crimes Division Homicide and Sex Section,Fulltime-Regular,Police Officer III,08/19/1996,1996,92756.7
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008,46626.87
M,FRS,Fire and Rescue Services,Fifth Battalion - Administration,Fulltime-Regular,Fire/Rescue Battalion Chief,05/20/1974,1974,141027.78
F,DOT,Department of Transportation,Director Management Services,Fulltime-Regular,Senior Engineer,09/10/1990,1990,116285.97
M,DHS,Office of Emergency Management and Homeland Security,Operations and Training,Fulltime-Regular,Manager III,12/24/2001,2001,113931.12
M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Transit Operations Supervisor,03/22/1998,1998,77343.0
